region_1,region_2
Sonoma County,Sonoma
Napa Valley,Napa
Columbia Valley (WA),Columbia Valley
Napa Valley,Napa
Spring Mountain District,Napa
Santa Lucia Highlands,Central Coast
Santa Ynez Valley,Central Coast
Santa Ynez Valley,Central Coast
Monterey,Central Coast
Napa Valley,Napa
Carmel Valley,Central Coast
Paso Robles,Central Coast
Paso Robles,Central Coast
Edna Valley,Central Coast
Napa Valley,Napa
Russian River Valley,Sonoma
Napa Valley,Napa
Nevada County,Sierra Foothills
Paso Robles,Central Coast
Arroyo Seco,Central Coast
Dry Creek Valley,Sonoma
Paso Robles,Central Coast
Dry Creek Valley,Sonoma
Willamette Valley,Willamette Valley
Napa Valley,Napa
Dundee Hills,Willamette Valley
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Diamond Mountain District,Napa
Dundee Hills,Willamette Valley
Edna Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
California,California Other
Wahluke Slope,Columbia Valley
Santa Ynez Valley,Central Coast
Templeton Gap District,Central Coast
Snipes Mountain,Columbia Valley
Santa Barbara County,Central Coast
Alexander Valley,Sonoma
Sonoma Valley,Sonoma
Ribbon Ridge,Willamette Valley
Dundee Hills,Willamette Valley
Willamette Valley,Willamette Valley
Napa Valley,Napa
Monterey County,Central Coast
Chiles Valley,Napa
Sonoma Coast,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Calaveras County,Sierra Foothills
Edna Valley,Central Coast
Edna Valley,Central Coast
Willamette Valley,Willamette Valley
Chehalem Mountains,Willamette Valley
Horse Heaven Hills,Columbia Valley
Arroyo Grande Valley,Central Coast
Dundee Hills,Willamette Valley
Russian River Valley,Sonoma
Oregon,Oregon Other
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Paso Robles,Central Coast
Umpqua Valley,Southern Oregon
Edna Valley,Central Coast
Santa Maria Valley,Central Coast
Santa Maria Valley,Central Coast
Napa Valley,Napa
Templeton Gap District,Central Coast
Napa Valley,Napa
Sonoma Coast,Sonoma
Ballard Canyon,Central Coast
Green Valley,Sonoma
Carneros,Napa-Sonoma
Sonoma Valley,Sonoma
Santa Maria Valley,Central Coast
Sierra Foothills,Sierra Foothills
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Sta. Rita Hills,Central Coast
Paso Robles,Central Coast
Central Coast,Central Coast
Napa Valley,Napa
Howell Mountain,Napa
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Columbia Gorge (WA),Washington Other
Santa Cruz Mountains,Central Coast
Yakima Valley,Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Paso Robles,Central Coast
Russian River Valley,Sonoma
Dry Creek Valley,Sonoma
Santa Maria Valley,Central Coast
Paso Robles,Central Coast
Willamette Valley,Willamette Valley
Napa Valley,Napa
Mokelumne River,Central Valley
Dundee Hills,Willamette Valley
Mount Veeder,Napa
Rockpile,Sonoma
Walla Walla Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Carneros,Napa-Sonoma
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Sonoma Coast,Sonoma
Santa Cruz Mountains,Central Coast
Red Mountain,Columbia Valley
Santa Barbara County,Central Coast
Livermore Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Dry Creek Valley,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Dundee Hills,Willamette Valley
Rutherford,Napa
Columbia Valley (WA),Columbia Valley
Chehalem Mountains,Willamette Valley
Yakima Valley,Columbia Valley
Sonoma Valley,Sonoma
Red Mountain,Columbia Valley
Ancient Lakes,Columbia Valley
Sierra Foothills,Sierra Foothills
Edna Valley,Central Coast
Temecula Valley,South Coast
Sta. Rita Hills,Central Coast
Chehalem Mountains,Willamette Valley
Ballard Canyon,Central Coast
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Temecula Valley,South Coast
Columbia Valley (WA),Columbia Valley
Willamette Valley,Willamette Valley
Dundee Hills,Willamette Valley
Paso Robles,Central Coast
Temecula Valley,South Coast
Napa Valley,Napa
Happy Canyon of Santa Barbara,Central Coast
Rogue Valley,Southern Oregon
Carneros,Napa-Sonoma
Walla Walla Valley (OR),Oregon Other
Amador County,Sierra Foothills
Willamette Valley,Willamette Valley
Dundee Hills,Willamette Valley
Carneros,Napa-Sonoma
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Ribbon Ridge,Willamette Valley
Dundee Hills,Willamette Valley
Walla Walla Valley (OR),Oregon Other
Rutherford,Napa
Sonoma Coast,Sonoma
Walla Walla Valley (OR),Oregon Other
Sonoma Coast,Sonoma
Chehalem Mountains,Willamette Valley
Eola-Amity Hills,Willamette Valley
Yakima Valley,Columbia Valley
Paso Robles,Central Coast
Sonoma Coast,Sonoma
Yakima Valley,Columbia Valley
Yolo County,Central Valley
Central Coast,Central Coast
Horse Heaven Hills,Columbia Valley
Paso Robles,Central Coast
Alexander Valley,Sonoma
Yountville,Napa
Santa Maria Valley,Central Coast
Bennett Valley,Sonoma
Paso Robles Willow Creek District,Central Coast
Santa Barbara County,Central Coast
Sta. Rita Hills,Central Coast
Green Valley,Sonoma
Russian River Valley,Sonoma
Santa Maria Valley,Central Coast
Sta. Rita Hills,Central Coast
Sta. Rita Hills,Central Coast
Monterey,Central Coast
Russian River Valley,Sonoma
Central Coast,Central Coast
Santa Maria Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Fair Play,Sierra Foothills
Dundee Hills,Willamette Valley
Sonoma Valley,Sonoma
Paso Robles,Central Coast
Alexander Valley,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Sta. Rita Hills,Central Coast
Paso Robles,Central Coast
Sta. Rita Hills,Central Coast
Russian River Valley,Sonoma
Paso Robles,Central Coast
Santa Cruz Mountains,Central Coast
Carneros,Napa-Sonoma
Dry Creek Valley,Sonoma
Dunnigan Hills,Central Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Horse Heaven Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Paso Robles,Central Coast
Napa Valley,Napa
Sonoma County,Sonoma
Paso Robles,Central Coast
Rutherford,Napa
Happy Canyon of Santa Barbara,Central Coast
St. Helena,Napa
Napa Valley,Napa
Santa Maria Valley,Central Coast
St. Helena,Napa
Edna Valley,Central Coast
Napa Valley,Napa
Eola-Amity Hills,Willamette Valley
Chehalem Mountains,Willamette Valley
Willamette Valley,Willamette Valley
Livermore Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Oakville,Napa
Columbia Valley (WA),Columbia Valley
California,California Other
Columbia Gorge (WA),Washington Other
Applegate Valley,Southern Oregon
San Luis Obispo County,Central Coast
Santa Cruz Mountains,Central Coast
Washington,Washington Other
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Monterey County,Central Coast
Columbia Gorge (WA),Washington Other
Alexander Valley,Sonoma
Livermore Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Calaveras County,Sierra Foothills
Horse Heaven Hills,Columbia Valley
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Dundee Hills,Willamette Valley
Columbia Valley (WA),Columbia Valley
Washington,Washington Other
Walla Walla Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Red Mountain,Columbia Valley
Dry Creek Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
El Dorado,Sierra Foothills
Santa Barbara County,Central Coast
Paso Robles,Central Coast
Paso Robles,Central Coast
Horse Heaven Hills,Columbia Valley
Dry Creek Valley,Sonoma
Yolo County,Central Valley
Santa Ynez Valley,Central Coast
Santa Cruz Mountains,Central Coast
Columbia Valley (WA),Columbia Valley
Paso Robles Willow Creek District,Central Coast
Alexander Valley,Sonoma
Santa Clara Valley,Central Coast
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
Contra Costa County,Central Coast
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Carneros,Napa-Sonoma
Arroyo Seco,Central Coast
Napa Valley,Napa
Sonoma County,Sonoma
Sonoma County,Sonoma
Alexander Valley,Sonoma
Paso Robles,Central Coast
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Horse Heaven Hills,Columbia Valley
Sierra Foothills,Sierra Foothills
California,California Other
Chalk Hill,Sonoma
Paso Robles,Central Coast
Livermore Valley,Central Coast
Santa Ynez Valley,Central Coast
Sonoma Mountain,Sonoma
Paso Robles,Central Coast
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Wahluke Slope,Columbia Valley
Santa Barbara County,Central Coast
Napa Valley,Napa
Santa Ynez Valley,Central Coast
Paso Robles,Central Coast
Russian River Valley,Sonoma
Willamette Valley,Willamette Valley
Russian River Valley,Sonoma
Napa Valley,Napa
Napa Valley,Napa
Paso Robles,Central Coast
California,California Other
Central Coast,Central Coast
Spring Mountain District,Napa
Sta. Rita Hills,Central Coast
Santa Clara Valley,Central Coast
Livermore Valley,Central Coast
Napa Valley,Napa
Paso Robles,Central Coast
Paso Robles,Central Coast
Edna Valley,Central Coast
Red Mountain,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Santa Cruz Mountains,Central Coast
Columbia Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Yakima Valley,Columbia Valley
Snipes Mountain,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Temecula Valley,South Coast
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
North Coast,North Coast
Wahluke Slope,Columbia Valley
Dry Creek Valley,Sonoma
Dundee Hills,Willamette Valley
Columbia Valley (WA),Columbia Valley
Russian River Valley,Sonoma
Livermore Valley,Central Coast
Paso Robles,Central Coast
Willamette Valley,Willamette Valley
Napa Valley,Napa
Russian River Valley,Sonoma
North Coast,North Coast
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Yakima Valley,Columbia Valley
Yakima Valley,Columbia Valley
Ancient Lakes,Columbia Valley
Paso Robles,Central Coast
Sonoma County,Sonoma
Napa Valley,Napa
Columbia Gorge (WA),Washington Other
Eola-Amity Hills,Willamette Valley
Columbia Valley (WA),Columbia Valley
Yakima Valley,Columbia Valley
Sierra Foothills,Sierra Foothills
Horse Heaven Hills,Columbia Valley
Yakima Valley,Columbia Valley
Red Mountain,Columbia Valley
Washington,Washington Other
Wahluke Slope,Columbia Valley
Mount Veeder,Napa
Green Valley,Sonoma
Columbia Valley (WA),Columbia Valley
North Coast,North Coast
Sonoma Coast,Sonoma
Russian River Valley,Sonoma
Sonoma County,Sonoma
Cucamonga Valley,South Coast
Dundee Hills,Willamette Valley
Chehalem Mountains,Willamette Valley
Napa Valley,Napa
Amador County,Sierra Foothills
Dundee Hills,Willamette Valley
Sonoma Coast,Sonoma
Lodi,Central Valley
Carneros,Napa-Sonoma
Yakima Valley,Columbia Valley
Alexander Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Eola-Amity Hills,Willamette Valley
Walla Walla Valley (WA),Columbia Valley
Columbia Gorge (WA),Washington Other
Eola-Amity Hills,Willamette Valley
Wahluke Slope,Columbia Valley
Paso Robles,Central Coast
Paso Robles,Central Coast
Carneros,Napa-Sonoma
Willamette Valley,Willamette Valley
California,California Other
Russian River Valley,Sonoma
California,California Other
California,California Other
California,California Other
Adelaida District,Central Coast
Alexander Valley,Sonoma
Chehalem Mountains,Willamette Valley
Napa Valley,Napa
Carneros,Napa-Sonoma
Columbia Valley (WA),Columbia Valley
Carneros,Napa-Sonoma
St. Helena,Napa
Paso Robles,Central Coast
California,California Other
Horse Heaven Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Ribbon Ridge,Willamette Valley
Central Coast,Central Coast
Willamette Valley,Willamette Valley
Willamette Valley,Willamette Valley
Eola-Amity Hills,Willamette Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Horse Heaven Hills,Columbia Valley
Russian River Valley,Sonoma
Santa Lucia Highlands,Central Coast
Russian River Valley,Sonoma
Eola-Amity Hills,Willamette Valley
Eola-Amity Hills,Willamette Valley
Columbia Valley (WA),Columbia Valley
Sonoma Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Napa Valley,Napa
Red Mountain,Columbia Valley
Monterey,Central Coast
California,California Other
Dundee Hills,Willamette Valley
Columbia Gorge (OR),Oregon Other
Oregon,Oregon Other
Chehalem Mountains,Willamette Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Washington,Washington Other
Columbia Valley (WA),Columbia Valley
Santa Ynez Valley,Central Coast
Horse Heaven Hills,Columbia Valley
Lake Chelan,Columbia Valley
Red Mountain,Columbia Valley
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Paso Robles,Central Coast
Russian River Valley,Sonoma
Columbia Valley (WA),Columbia Valley
Sonoma County,Sonoma
Walla Walla Valley (WA),Columbia Valley
Knights Valley,Sonoma
El Dorado,Sierra Foothills
Temecula Valley,South Coast
Sonoma County,Sonoma
Rattlesnake Hills,Columbia Valley
Alexander Valley,Sonoma
Santa Barbara County,Central Coast
El Dorado,Sierra Foothills
Santa Cruz Mountains,Central Coast
Wahluke Slope,Columbia Valley
Russian River Valley,Sonoma
Sonoma Coast,Sonoma
Sonoma Valley,Sonoma
El Dorado,Sierra Foothills
El Dorado,Sierra Foothills
El Dorado,Sierra Foothills
Livermore Valley,Central Coast
Livermore Valley,Central Coast
Calistoga,Napa
Eola-Amity Hills,Willamette Valley
Willamette Valley,Willamette Valley
El Dorado,Sierra Foothills
Edna Valley,Central Coast
Santa Barbara County,Central Coast
Columbia Valley (WA),Columbia Valley
Eola-Amity Hills,Willamette Valley
Dry Creek Valley,Sonoma
Santa Clara Valley,Central Coast
Sonoma Coast,Sonoma
Sonoma Coast,Sonoma
Paso Robles Willow Creek District,Central Coast
California,California Other
Calaveras County,Sierra Foothills
Edna Valley,Central Coast
Eola-Amity Hills,Willamette Valley
Yakima Valley,Columbia Valley
Yakima Valley,Columbia Valley
Columbia Valley (WA),Columbia Valley
Carneros,Napa-Sonoma
Napa Valley,Napa
Rutherford,Napa
Columbia Valley (WA),Columbia Valley
Sonoma Coast,Sonoma
Lodi,Central Valley
California,California Other
Horse Heaven Hills,Columbia Valley
Rattlesnake Hills,Columbia Valley
California,California Other
Horse Heaven Hills,Columbia Valley
Columbia Valley (WA),Columbia Valley
Dundee Hills,Willamette Valley
Willamette Valley,Willamette Valley
Sta. Rita Hills,Central Coast
Sonoma Coast,Sonoma
Dundee Hills,Willamette Valley
Sonoma Coast,Sonoma
Dunnigan Hills,Central Valley
Sonoma Valley,Sonoma
Sonoma Mountain,Sonoma
Sonoma Mountain,Sonoma
Red Mountain,Columbia Valley
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
California,California Other
Columbia Valley (WA),Columbia Valley
Red Mountain,Columbia Valley
Columbia Valley (WA),Columbia Valley
Sonoma County,Sonoma
Wahluke Slope,Columbia Valley
Red Mountain,Columbia Valley
Horse Heaven Hills,Columbia Valley
Santa Maria Valley,Central Coast
Walla Walla Valley (WA),Columbia Valley
Wahluke Slope,Columbia Valley
Sta. Rita Hills,Central Coast
Horse Heaven Hills,Columbia Valley
Santa Cruz Mountains,Central Coast
Contra Costa County,Central Coast
Columbia Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Carneros,Napa-Sonoma
Columbia Valley (WA),Columbia Valley
Santa Maria Valley,Central Coast
Walla Walla Valley (WA),Columbia Valley
Columbia Valley (WA),Columbia Valley
Walla Walla Valley (WA),Columbia Valley
Horse Heaven Hills,Columbia Valley
Temecula Valley,South Coast
Santa Clara Valley,Central Coast
Santa Ynez Valley,Central Coast
Alexander Valley,Sonoma
Russian River Valley,Sonoma
Yakima Valley,Columbia Valley
Russian River Valley,Sonoma
Fort Ross-Seaview,Sonoma
Russian River Valley,Sonoma
Fort Ross-Seaview,Sonoma
Mt. Harlan,Central Coast
Fort Ross-Seaview,Sonoma
Russian River Valley,Sonoma
Fort Ross-Seaview,Sonoma
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Mt. Harlan,Central Coast
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Santa Maria Valley,Central Coast
Russian River Valley,Sonoma
Fort Ross-Seaview,Sonoma
Sonoma Valley,Sonoma
Santa Barbara County,Central Coast
Walla Walla Valley (OR),Oregon Other
Santa Maria Valley,Central Coast
Carneros,Napa-Sonoma
Sonoma County,Sonoma
Dundee Hills,Willamette Valley
Sonoma Coast,Sonoma
Spring Mountain District,Napa
Willamette Valley,Willamette Valley
Eola-Amity Hills,Willamette Valley
Russian River Valley,Sonoma
Russian River Valley,Sonoma
Santa Ynez Valley,Central Coast
Napa Valley,Napa
Dundee Hills,Willamette Valley
Russian River Valley,Sonoma
Willamette Valley,Willamette Valley
North Coast,North Coast
Napa Valley,Napa
Santa Lucia Highlands,Central Coast
Russian River Valley,Sonoma
Lodi,Central Valley
Santa Barbara County,Central Coast
Paso Robles,Central Coast
